1. el Raval  ,Nombre  ,%  ,,2. el Barri Gòtic  ,Nombre  ,%  ,,3. la Barceloneta  ,Nombre  ,%  ,,"4. Sant Pere, Santa   ",Nombre  ,%  ,,5. el Fort Pienc  ,Nombre  ,%  ,,6. la Sagrada Família  ,Nombre  ,%  ,,7. la Dreta de   ,Nombre  ,%  ,,8. l'Antiga Esquerra  ,Nombre  ,%  ,,9. la Nova Esquerra   ,Nombre  ,%  ,,10. Sant Antoni  ,Nombre  ,%  ,,11. el Poble Sec-  ,Nombre  ,%  ,,12. la Marina del Prat   ,Nombre  ,%  ,,13. la Marina de Port  ,Nombre  ,%  ,,14. la Font de la Guatlla  ,Nombre  ,%  ,,15. Hostafrancs  ,Nombre  ,%  ,,16. la Bordeta  ,Nombre  ,%  ,,17. Sants-Badal  ,Nombre  ,%  ,,18. Sants  ,Nombre  ,%  ,,19. les Corts  ,Nombre  ,%  ,,20. la Maternitat  ,Nombre  ,%  ,,21. Pedralbes   ,Nombre  ,%  ,,"22. Vallvidrera,   ",Nombre  ,%  ,,23. Sarrià  ,Nombre  ,%  ,,24. les Tres Torres  ,Nombre  ,%  ,,25. Sant Gervasi-  ,Nombre  ,%  ,,26. Sant Gervasi-  ,Nombre  ,%  ,,27. el Putxet i el Farró  ,Nombre  ,%  ,,28. Vallcarca i   ,Nombre  ,%  ,,29. el Coll  ,Nombre  ,%  ,,30. la Salut  ,Nombre  ,%  ,,31. la Vila de Gràcia  ,Nombre  ,%  ,,32. el Camp d'en Grassot  ,Nombre  ,%  ,,33. el Baix Guinardó  ,Nombre  ,%  ,,34. Can Baró  ,Nombre  ,%  ,,35. el Guinardó  ,Nombre  ,%  ,,36. la Font d'en Fargues  ,Nombre  ,%  ,,37. el Carmel  ,Nombre  ,%  ,,38. la Teixonera  ,Nombre  ,%  ,,39. Sant Genís   ,Nombre  ,%  ,,40. Montbau  ,Nombre  ,%  ,,41. la Vall d'Hebron  ,Nombre  ,%  ,,42. la Clota  ,Nombre  ,%  ,,43. Horta  ,Nombre  ,%  ,,,44. Vilapicina i   ,Nombre  ,%  ,,45. Porta  ,Nombre  ,%  ,,46. el Turó de la Peira  ,Nombre  ,%  ,,47. Can Peguera  ,Nombre  ,%  ,,48. la Guineueta  ,Nombre  ,%  ,,49. Canyelles  ,Nombre  ,%  ,,50. les Roquetes  ,Nombre  ,%  ,,51. Verdun  ,Nombre  ,%  ,,52. la Prosperitat  ,Nombre  ,%  ,,53. la Trinitat Nova  ,Nombre  ,%  ,,54. Torre Baró  ,Nombre  ,%  ,,55. Ciutat Meridiana  ,Nombre  ,%  ,,56. Vallbona  ,Nombre  ,%  ,,57. la Trinitat Vella  ,Nombre  ,%  ,,58. Baró de Viver  ,Nombre  ,%  ,,59. el Bon Pastor  ,Nombre  ,%  ,,60. Sant Andreu  ,Nombre  ,%  ,,61. la Sagrera  ,Nombre  ,%  ,,62. el Congrés i  ,Nombre  ,%  ,,63. Navas  ,Nombre  ,%  ,,64. el Camp de   ,Nombre  ,%  ,,65. el Clot  ,Nombre  ,%  ,,66. el Parc i la Llacuna  ,Nombre  ,%  ,,67. la Vila Olímpica   ,Nombre  ,%  ,,68. el Poblenou  ,Nombre  ,%  ,,69. Diagonal Mar i el Front   ,Nombre  ,%  ,,70. el Besòs i   ,Nombre  ,%  ,,71. Provençals del  ,Nombre  ,%  ,,72. Sant Martí de   ,Nombre  ,%  ,,73. la Verneda i la Pau  ,Nombre  ,%  ,
,,,,,,,,,,,,Caterina i la Ribera  ,,,,,,,,,,,,l'Eixample  ,,,,de l'Eixample  ,,,,de l'Eixample  ,,,,,,,,AEI Parc Montjuïc  ,,,,Vermell-AEI Zona Franca  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i Sant Ramon  ,,,,,,,,el Tibidabo  ,,,,,,,,,,,,la Bonanova  ,,,,Galvany  ,,,,,,,,els Penitents  ,,,,,,,,,,,,,,,,i Gràcia Nova  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,dels Agudells  ,,,,,,,,,,,,,,,,,,,,,la Torre Llobeta  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,els Indians  ,,,,,,,,l'Arpa del Clot  ,,,,,,,,del Poblenou  ,,,,del Poblenou  ,,,,,,,,Marítim del Poblenou  ,,,,el Maresme  ,,,,Poblenou  ,,,,Provençals  ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i les Planes  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL POBLACIÓ  ,47.605  ,"100,0  ",,TOTAL POBLACIÓ  ,17.035  ,"100,0  ",,TOTAL POBLACIÓ  ,14.893  ,"100,0  ",,TOTAL POBLACIÓ  ,22.605  ,"100,0  ",,TOTAL POBLACIÓ  ,32.080  ,"100,0  ",,TOTAL POBLACIÓ  ,51.654  ,"100,0  ",,TOTAL POBLACIÓ  ,43.880  ,"100,0  ",,TOTAL POBLACIÓ  ,42.611  ,"100,0  ",,TOTAL POBLACIÓ  ,58.238  ,"100,0  ",,TOTAL POBLACIÓ  ,38.291  ,"100,0  ",,TOTAL POBLACIÓ  ,39.775  ,"100,0  ",,TOTAL POBLACIÓ  ,1.161  ,"100,0  ",,TOTAL POBLACIÓ  ,30.751  ,"100,0  ",,TOTAL POBLACIÓ  ,10.307  ,"100,0  ",,TOTAL POBLACIÓ  ,15.969  ,"100,0  ",,TOTAL POBLACIÓ  ,18.833  ,"100,0  ",,TOTAL POBLACIÓ  ,24.018  ,"100,0  ",,TOTAL POBLACIÓ  ,41.370  ,"100,0  ",,TOTAL POBLACIÓ  ,46.152  ,"100,0  ",,TOTAL POBLACIÓ  ,23.984  ,"100,0  ",,TOTAL POBLACIÓ  ,12.046  ,"100,0  ",,TOTAL POBLACIÓ  ,4.710  ,"100,0  ",,TOTAL POBLACIÓ  ,25.116  ,"100,0  ",,TOTAL POBLACIÓ  ,16.678  ,"100,0  ",,TOTAL POBLACIÓ  ,25.889  ,"100,0  ",,TOTAL POBLACIÓ  ,47.753  ,"100,0  ",,TOTAL POBLACIÓ  ,29.691  ,"100,0  ",,TOTAL POBLACIÓ  ,15.789  ,"100,0  ",,TOTAL POBLACIÓ  ,7.460  ,"100,0  ",,TOTAL POBLACIÓ  ,13.260  ,"100,0  ",,TOTAL POBLACIÓ  ,50.421  ,"100,0  ",,TOTAL POBLACIÓ  ,34.663  ,"100,0  ",,TOTAL POBLACIÓ  ,25.793  ,"100,0  ",,TOTAL POBLACIÓ  ,9.071  ,"100,0  ",,TOTAL POBLACIÓ  ,36.890  ,"100,0  ",,TOTAL POBLACIÓ  ,9.446  ,"100,0  ",,TOTAL POBLACIÓ  ,31.832  ,"100,0  ",,TOTAL POBLACIÓ  ,11.650  ,"100,0  ",,TOTAL POBLACIÓ  ,7.149  ,"100,0  ",,TOTAL POBLACIÓ  ,5.157  ,"100,0  ",,TOTAL POBLACIÓ  ,5.737  ,"100,0  ",,TOTAL POBLACIÓ  ,657  ,"100,0  ",,TOTAL POBLACIÓ  ,26.867  ,"100,0  ",,,TOTAL POBLACIÓ  ,25.675  ,"100,0  ",,TOTAL POBLACIÓ  ,25.568  ,"100,0  ",,TOTAL POBLACIÓ  ,15.616  ,"100,0  ",,TOTAL POBLACIÓ  ,2.229  ,"100,0  ",,TOTAL POBLACIÓ  ,15.293  ,"100,0  ",,TOTAL POBLACIÓ  ,6.885  ,"100,0  ",,TOTAL POBLACIÓ  ,15.784  ,"100,0  ",,TOTAL POBLACIÓ  ,12.445  ,"100,0  ",,TOTAL POBLACIÓ  ,26.552  ,"100,0  ",,TOTAL POBLACIÓ  ,7.365  ,"100,0  ",,TOTAL POBLACIÓ  ,2.893  ,"100,0  ",,TOTAL POBLACIÓ  ,10.622  ,"100,0  ",,TOTAL POBLACIÓ  ,1.400  ,"100,0  ",,TOTAL POBLACIÓ  ,10.071  ,"100,0  ",,TOTAL POBLACIÓ  ,2.535  ,"100,0  ",,TOTAL POBLACIÓ  ,12.740  ,"100,0  ",,TOTAL POBLACIÓ  ,57.662  ,"100,0  ",,TOTAL POBLACIÓ  ,29.197  ,"100,0  ",,TOTAL POBLACIÓ  ,14.196  ,"100,0  ",,TOTAL POBLACIÓ  ,22.159  ,"100,0  ",,TOTAL POBLACIÓ  ,38.440  ,"100,0  ",,TOTAL POBLACIÓ  ,27.050  ,"100,0  ",,TOTAL POBLACIÓ  ,15.426  ,"100,0  ",,TOTAL POBLACIÓ  ,9.312  ,"100,0  ",,TOTAL POBLACIÓ  ,33.985  ,"100,0  ",,TOTAL POBLACIÓ  ,13.681  ,"100,0  ",,TOTAL POBLACIÓ  ,23.546  ,"100,0  ",,TOTAL POBLACIÓ  ,20.766  ,"100,0  ",,TOTAL POBLACIÓ  ,26.092  ,"100,0  ",,TOTAL POBLACIÓ  ,28.814  ,"100,0  ",
Espanyola  ,23.795  ,"50,0  ",,Espanyola  ,8.501  ,"49,9  ",,Espanyola  ,9.536  ,"64,0  ",,Espanyola  ,12.999  ,"57,5  ",,Espanyola  ,24.722  ,"77,1  ",,Espanyola  ,41.115  ,"79,6  ",,Espanyola  ,34.125  ,"77,8  ",,Espanyola  ,33.291  ,"78,1  ",,Espanyola  ,47.390  ,"81,4  ",,Espanyola  ,29.854  ,"78,0  ",,Espanyola  ,27.353  ,"68,8  ",,Espanyola  ,1.055  ,"90,9  ",,Espanyola  ,26.096  ,"84,9  ",,Espanyola  ,8.320  ,"80,7  ",,Espanyola  ,12.253  ,"76,7  ",,Espanyola  ,16.305  ,"86,6  ",,Espanyola  ,19.787  ,"82,4  ",,Espanyola  ,33.991  ,"82,2  ",,Espanyola  ,40.780  ,"88,4  ",,Espanyola  ,21.147  ,"88,2  ",,Espanyola  ,9.908  ,"82,3  ",,Espanyola  ,4.025  ,"85,5  ",,Espanyola  ,21.770  ,"86,7  ",,Espanyola  ,15.085  ,"90,4  ",,Espanyola  ,22.931  ,"88,6  ",,Espanyola  ,41.726  ,"87,4  ",,Espanyola  ,25.696  ,"86,5  ",,Espanyola  ,13.554  ,"85,8  ",,Espanyola  ,6.353  ,"85,2  ",,Espanyola  ,11.441  ,"86,3  ",,Espanyola  ,39.922  ,"79,2  ",,Espanyola  ,29.680  ,"85,6  ",,Espanyola  ,22.101  ,"85,7  ",,Espanyola  ,7.760  ,"85,5  ",,Espanyola  ,31.459  ,"85,3  ",,Espanyola  ,8.821  ,"93,4  ",,Espanyola  ,27.060  ,"85,0  ",,Espanyola  ,10.003  ,"85,9  ",,Espanyola  ,6.096  ,"85,3  ",,Espanyola  ,4.513  ,"87,5  ",,Espanyola  ,5.204  ,"90,7  ",,Espanyola  ,575  ,"87,5  ",,Espanyola  ,23.788  ,"88,5  ",,,Espanyola  ,22.141  ,"86,2  ",,Espanyola  ,21.287  ,"83,3  ",,Espanyola  ,12.213  ,"78,2  ",,Espanyola  ,2.024  ,"90,8  ",,Espanyola  ,14.029  ,"91,7  ",,Espanyola  ,6.562  ,"95,3  ",,Espanyola  ,12.360  ,"78,3  ",,Espanyola  ,9.991  ,"80,3  ",,Espanyola  ,22.331  ,"84,1  ",,Espanyola  ,5.821  ,"79,0  ",,Espanyola  ,2.371  ,"82,0  ",,Espanyola  ,7.429  ,"69,9  ",,Espanyola  ,1.214  ,"86,7  ",,Espanyola  ,7.154  ,"71,0  ",,Espanyola  ,2.211  ,"87,2  ",,Espanyola  ,10.865  ,"85,3  ",,Espanyola  ,53.073  ,"92,0  ",,Espanyola  ,25.359  ,"86,9  ",,Espanyola  ,12.250  ,"86,3  ",,Espanyola  ,18.881  ,"85,2  ",,Espanyola  ,31.716  ,"82,5  ",,Espanyola  ,22.953  ,"84,9  ",,Espanyola  ,12.002  ,"77,8  ",,Espanyola  ,7.747  ,"83,2  ",,Espanyola  ,27.827  ,"81,9  ",,Espanyola  ,11.047  ,"80,7  ",,Espanyola  ,16.915  ,"71,8  ",,Espanyola  ,17.698  ,"85,2  ",,Espanyola  ,22.794  ,"87,4  ",,Espanyola  ,25.159  ,"87,3  ",
Estrangera  ,23.802  ,"50,0  ",,Estrangera  ,8.527  ,"50,1  ",,Estrangera  ,5.356  ,"36,0  ",,Estrangera  ,9.602  ,"42,5  ",,Estrangera  ,7.348  ,"22,9  ",,Estrangera  ,10.534  ,"20,4  ",,Estrangera  ,9.738  ,"22,2  ",,Estrangera  ,9.309  ,"21,8  ",,Estrangera  ,10.836  ,"18,6  ",,Estrangera  ,8.427  ,"22,0  ",,Estrangera  ,12.414  ,"31,2  ",,Estrangera  ,106  ,"9,1  ",,Estrangera  ,4.654  ,"15,1  ",,Estrangera  ,1.986  ,"19,3  ",,Estrangera  ,3.715  ,"23,3  ",,Estrangera  ,2.525  ,"13,4  ",,Estrangera  ,4.229  ,"17,6  ",,Estrangera  ,7.376  ,"17,8  ",,Estrangera  ,5.364  ,"11,6  ",,Estrangera  ,2.836  ,"11,8  ",,Estrangera  ,2.134  ,"17,7  ",,Estrangera  ,685  ,"14,5  ",,Estrangera  ,3.337  ,"13,3  ",,Estrangera  ,1.593  ,"9,6  ",,Estrangera  ,2.958  ,"11,4  ",,Estrangera  ,6.016  ,"12,6  ",,Estrangera  ,3.991  ,"13,4  ",,Estrangera  ,2.234  ,"14,1  ",,Estrangera  ,1.107  ,"14,8  ",,Estrangera  ,1.816  ,"13,7  ",,Estrangera  ,10.483  ,"20,8  ",,Estrangera  ,4.971  ,"14,3  ",,Estrangera  ,3.690  ,"14,3  ",,Estrangera  ,1.309  ,"14,4  ",,Estrangera  ,5.430  ,"14,7  ",,Estrangera  ,625  ,"6,6  ",,Estrangera  ,4.772  ,"15,0  ",,Estrangera  ,1.646  ,"14,1  ",,Estrangera  ,1.053  ,"14,7  ",,Estrangera  ,644  ,"12,5  ",,Estrangera  ,533  ,"9,3  ",,Estrangera  ,82  ,"12,5  ",,Estrangera  ,3.078  ,"11,5  ",,,Estrangera  ,3.531  ,"13,8  ",,Estrangera  ,4.280  ,"16,7  ",,Estrangera  ,3.402  ,"21,8  ",,Estrangera  ,205  ,"9,2  ",,Estrangera  ,1.264  ,"8,3  ",,Estrangera  ,323  ,"4,7  ",,Estrangera  ,3.423  ,"21,7  ",,Estrangera  ,2.454  ,"19,7  ",,Estrangera  ,4.220  ,"15,9  ",,Estrangera  ,1.544  ,"21,0  ",,Estrangera  ,522  ,"18,0  ",,Estrangera  ,3.193  ,"30,1  ",,Estrangera  ,185  ,"13,2  ",,Estrangera  ,2.917  ,"29,0  ",,Estrangera  ,324  ,"12,8  ",,Estrangera  ,1.875  ,"14,7  ",,Estrangera  ,4.588  ,"8,0  ",,Estrangera  ,3.836  ,"13,1  ",,Estrangera  ,1.943  ,"13,7  ",,Estrangera  ,3.274  ,"14,8  ",,Estrangera  ,6.719  ,"17,5  ",,Estrangera  ,4.094  ,"15,1  ",,Estrangera  ,3.417  ,"22,2  ",,Estrangera  ,1.564  ,"16,8  ",,Estrangera  ,6.154  ,"18,1  ",,Estrangera  ,2.633  ,"19,2  ",,Estrangera  ,6.630  ,"28,2  ",,Estrangera  ,3.066  ,"14,8  ",,Estrangera  ,3.298  ,"12,6  ",,Estrangera  ,3.653  ,"12,7  ",
Apàtrides/no consta  ,8  ,"0,0  ",,Apàtrides/no consta  ,7  ,"0,1  ",,Apàtrides/no consta  ,1  ,"0,0  ",,Apàtrides/no consta  ,4  ,"0,0  ",,Apàtrides/no consta  ,10  ,"0,0  ",,Apàtrides/no consta  ,5  ,"0,0  ",,Apàtrides/no consta  ,17  ,"0,0  ",,Apàtrides/no consta  ,11  ,"0,0  ",,Apàtrides/no consta  ,12  ,"0,0  ",,Apàtrides/no consta  ,10  ,"0,0  ",,Apàtrides/no consta  ,8  ,"0,0  ",,Apàtrides/no consta  ,0  ,-  ,,Apàtrides/no consta  ,1  ,"0,0  ",,Apàtrides/no consta  ,1  ,"0,0  ",,Apàtrides/no consta  ,1  ,"0,0  ",,Apàtrides/no consta  ,3  ,"0,0  ",,Apàtrides/no consta  ,2  ,"0,0  ",,Apàtrides/no consta  ,3  ,"0,0  ",,Apàtrides/no consta  ,8  ,"0,0  ",,Apàtrides/no consta  ,1  ,"0,0  ",,Apàtrides/no consta  ,4  ,"0,0  ",,Apàtrides/no consta  ,0  ,-  ,,Apàtrides/no consta  ,9  ,"0,0  ",,Apàtrides/no consta  ,0  ,-  ,,Apàtrides/no consta  ,0  ,-  ,,Apàtrides/no consta  ,11  ,"0,0  ",,Apàtrides/no consta  ,4  ,"0,0  ",,Apàtrides/no consta  ,1  ,"0,0  ",,Apàtrides/no consta  ,0  ,-  ,,Apàtrides/no consta  ,3  ,"0,0  ",,Apàtrides/no consta  ,16  ,"0,0  ",,Apàtrides/no consta  ,12  ,"0,0  ",,Apàtrides/no consta  ,2  ,"0,0  ",,Apàtrides/no consta  ,2  ,"0,0  ",,Apàtrides/no consta  ,1  ,"0,0  ",,Apàtrides/no consta  ,0  ,-  ,,Apàtrides/no consta  ,0  ,-  ,,Apàtrides/no consta  ,1  ,"0,0  ",,Apàtrides/no consta  ,0  ,-  ,,Apàtrides/no consta  ,0  ,-  ,,Apàtrides/no consta  ,0  ,-  ,,Apàtrides/no consta  ,0  ,-  ,,Apàtrides/no consta  ,1  ,"0,0  ",,,Apàtrides/no consta  ,3  ,"0,0  ",,Apàtrides/no consta  ,1  ,"0,0  ",,Apàtrides/no consta  ,1  ,"0,0  ",,Apàtrides/no consta  ,0  ,-  ,,Apàtrides/no consta  ,0  ,-  ,,Apàtrides/no consta  ,0  ,-  ,,Apàtrides/no consta  ,1  ,"0,0  ",,Apàtrides/no consta  ,0  ,-  ,,Apàtrides/no consta  ,1  ,"0,0  ",,Apàtrides/no consta  ,0  ,-  ,,Apàtrides/no consta  ,0  ,-  ,,Apàtrides/no consta  ,0  ,-  ,,Apàtrides/no consta  ,1  ,"0,1  ",,Apàtrides/no consta  ,0  ,-  ,,Apàtrides/no consta  ,0  ,-  ,,Apàtrides/no consta  ,0  ,-  ,,Apàtrides/no consta  ,1  ,"0,0  ",,Apàtrides/no consta  ,2  ,"0,0  ",,Apàtrides/no consta  ,3  ,"0,0  ",,Apàtrides/no consta  ,4  ,"0,0  ",,Apàtrides/no consta  ,5  ,"0,0  ",,Apàtrides/no consta  ,3  ,"0,0  ",,Apàtrides/no consta  ,7  ,"0,0  ",,Apàtrides/no consta  ,1  ,"0,0  ",,Apàtrides/no consta  ,4  ,"0,0  ",,Apàtrides/no consta  ,1  ,"0,0  ",,Apàtrides/no consta  ,1  ,"0,0  ",,Apàtrides/no consta  ,2  ,"0,0  ",,Apàtrides/no consta  ,0  ,"0,0  ",,Apàtrides/no consta  ,2  ,"0,0  ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  ,,,
POBLACIÓ ESTRANGERA  ,23.810  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,8.534  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,5.357  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,9.606  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,7.358  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,10.539  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,9.755  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,9.320  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,10.848  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,8.437  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,12.422  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,106  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,4.655  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,1.987  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,3.716  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,2.528  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,4.231  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,7.379  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,5.372  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,2.837  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,2.138  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,685  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,3.346  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,1.593  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,2.958  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,6.027  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,3.995  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,2.235  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,1.107  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,1.819  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,10.499  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,4.983  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,3.692  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,1.311  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,5.431  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,625  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,4.772  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,1.647  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,1.053  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,644  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,533  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,82  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,3.079  ,"100,0  ",,,POBLACIÓ ESTRANGERA  ,3.534  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,4.281  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,3.403  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,205  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,1.264  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,323  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,3.424  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,2.454  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,4.221  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,1.544  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,522  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,3.193  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,186  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,2.917  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,324  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,1.875  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,4.589  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,3.838  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,1.946  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,3.278  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,6.724  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,4.097  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,3.424  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,1.565  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,6.158  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,2.634  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,6.631  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,3.068  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,3.298  ,"100,0  ",,POBLACIÓ ESTRANGERA  ,3.655  ,"100,0  ",
