"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nombre"
2018,1,"Ciutat Vella",1,"el Raval","Home",3353
2018,1,"Ciutat Vella",2,"el Barri Gòtic","Home",2047
2018,1,"Ciutat Vella",3,"la Barceloneta","Home",917
2018,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home",1481
2018,2,"Eixample",5,"el Fort Pienc","Home",1194
2018,2,"Eixample",6,"la Sagrada Família","Home",1812
2018,2,"Eixample",7,"la Dreta de l'Eixample","Home",1596
2018,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home",1842
2018,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Home",1860
2018,2,"Eixample",10,"Sant Antoni","Home",1312
2018,3,"Sants-Montjuïc",11,"el Poble Sec","Home",1736
2018,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Home",25
2018,3,"Sants-Montjuïc",13,"la Marina de Port","Home",841
2018,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Home",358
2018,3,"Sants-Montjuïc",15,"Hostafrancs","Home",644
2018,3,"Sants-Montjuïc",16,"la Bordeta","Home",604
2018,3,"Sants-Montjuïc",17,"Sants - Badal","Home",829
2018,3,"Sants-Montjuïc",18,"Sants","Home",1699
2018,4,"Les Corts",19,"les Corts","Home",1176
2018,4,"Les Corts",20,"la Maternitat i Sant Ramon","Home",680
2018,4,"Les Corts",21,"Pedralbes","Home",330
2018,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Home",78
2018,5,"Sarrià-Sant Gervasi",23,"Sarrià","Home",597
2018,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Home",324
2018,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Home",634
2018,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Home",1056
2018,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Home",708
2018,6,"Gràcia",28,"Vallcarca i els Penitents","Home",332
2018,6,"Gràcia",29,"el Coll","Home",189
2018,6,"Gràcia",30,"la Salut","Home",356
2018,6,"Gràcia",31,"la Vila de Gràcia","Home",1609
2018,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Home",960
2018,7,"Horta-Guinardó",33,"el Baix Guinardó","Home",582
2018,7,"Horta-Guinardó",34,"Can Baró","Home",234
2018,7,"Horta-Guinardó",35,"el Guinardó","Home",881
2018,7,"Horta-Guinardó",36,"la Font d'en Fargues","Home",139
2018,7,"Horta-Guinardó",37,"el Carmel","Home",720
2018,7,"Horta-Guinardó",38,"la Teixonera","Home",248
2018,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Home",249
2018,7,"Horta-Guinardó",40,"Montbau","Home",124
2018,7,"Horta-Guinardó",41,"la Vall d'Hebron","Home",108
2018,7,"Horta-Guinardó",42,"la Clota","Home",22
2018,7,"Horta-Guinardó",43,"Horta","Home",683
2018,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Home",569
2018,8,"Nou Barris",45,"Porta","Home",876
2018,8,"Nou Barris",46,"el Turó de la Peira","Home",408
2018,8,"Nou Barris",47,"Can Peguera","Home",31
2018,8,"Nou Barris",48,"la Guineueta","Home",225
2018,8,"Nou Barris",49,"Canyelles","Home",81
2018,8,"Nou Barris",50,"les Roquetes","Home",476
2018,8,"Nou Barris",51,"Verdun","Home",370
2018,8,"Nou Barris",52,"la Prosperitat","Home",590
