"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nombre"
2016,1,"Ciutat Vella",1,"el Raval","Homes",2819
2016,1,"Ciutat Vella",2,"el Barri Gòtic","Homes",1135
2016,1,"Ciutat Vella",3,"la Barceloneta","Homes",785
2016,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Homes",1210
2016,2,"Eixample",5,"el Fort Pienc","Homes",962
2016,2,"Eixample",6,"la Sagrada Família","Homes",1472
2016,2,"Eixample",7,"la Dreta de l'Eixample","Homes",1367
2016,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Homes",1412
2016,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Homes",1667
2016,2,"Eixample",10,"Sant Antoni","Homes",1067
2016,3,"Sants-Montjuïc",11,"el Poble Sec","Homes",1439
2016,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Homes",18
2016,3,"Sants-Montjuïc",13,"la Marina de Port","Homes",622
2016,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Homes",302
2016,3,"Sants-Montjuïc",15,"Hostafrancs","Homes",518
2016,3,"Sants-Montjuïc",16,"la Bordeta","Homes",442
2016,3,"Sants-Montjuïc",17,"Sants - Badal","Homes",642
2016,3,"Sants-Montjuïc",18,"Sants","Homes",1121
2016,4,"Les Corts",19,"les Corts","Homes",977
2016,4,"Les Corts",20,"la Maternitat i Sant Ramon","Homes",588
2016,4,"Les Corts",21,"Pedralbes","Homes",369
2016,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Homes",75
2016,5,"Sarrià-Sant Gervasi",23,"Sarrià","Homes",542
2016,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Homes",264
2016,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Homes",526
2016,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Homes",1041
2016,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Homes",580
2016,6,"Gràcia",28,"Vallcarca i els Penitents","Homes",325
